"","Year3","id","Electoral_District_Number","clea","marg","lcomp","lnonsocsup","votensoc","conmarg","difcro2","rightmar2","diffvotensoc"
"235","1890","160",160,"Liberal",0.032910292911258,5,0,0.319741350190609,-0.199343724364233,0,0,0.247785205196341
"236","1893","160",160,"Liberal",0.0791755632053684,5,0.285714285714286,0.383546124014118,-0.266896161052769,0,0,0.160562637315187
"237","1898","160",160,"Minority",0.0108704637513433,5,0.125,0.291931883938166,-0.053773662891626,1,1,0.373820914782418
"238","1903","160",160,"Socialist",0.0054206418039896,4,0,0.326069673315987,-0.320649031511998,0,0,0.192688795518701
"239","1907","160",160,"Liberal",0.0134506115373503,4,0,0.334178678052069,0.055214920869314,0,0,0.125901716732074
"240","1912","160",160,"Socialist",0.0201048689138577,4,0,0.341662921348315,0.0148014981273408,0,0,0.148070491159108
"241","1890","161",161,"Liberal",0.0383240293545756,4,0,0.395032302577934,-0.356708273223358,0,0,0.134582941990582
"242","1893","161",161,"Liberal",0.171325695581015,5,0,0.44582651391162,-0.263109656301146,0,0,0.0626249751602638
"243","1898","161",161,"Socialist",0.00351493848857648,5,0,0.281127484115182,0.0323103961065297,0,0,0.14487782309037
"244","1903","161",161,"Liberal",0.0189832117221332,5,0,0.323307824642582,-0.0669751438571513,0,0,0.267850284670707
"245","1907","161",161,"Liberal",0.00933900591470371,4,0,0.300456573622497,-0.00223098474629035,0,0,0.333793608440133
"246","1912","161",161,"Socialist",0.10002442002442,3,0,0.401758241758242,-0.00923076923076921,0,0,0.0888334951130693
"247","1890","162",162,"Minority",0.16819042466865,4,0.166666666666667,0.468974844468488,-0.300784419799838,1,1,0.188400300711535
"248","1893","162",162,"Minority",0.121917311411992,5,0.142857142857143,0.389144100580271,-0.174081237911025,1,1,0.188789018633786
"249","1898","162",162,"Minority",0.0424856929584473,5,0.166666666666667,0.332856431948246,-0.279920378203533,0,0,0.22691345232495
"250","1903","162",162,"Socialist",0.0182566483748417,4,0,0.318752638243985,-0.217391304347826,0,0,0.288772347058778
"251","1907","162",162,"Liberal",0.0929539176568597,3,0.666666666666667,0.407638005875389,-0.314684088218529,0,0,0.105965621758647
"252","1912","162",162,"Socialist",0.034784035440338,4,0,0.327577013002994,-0.171828212806104,0,0,0.17455717720371
"253","1890","163",163,"Minority",0.1141625683815,4,0,0.301154887550423,0.183400563629331,1,1,0.220374675431582
"254","1893","163",163,"Socialist",0.131518425415842,4,0,0.300262074129539,0.249826175322244,0,0,0.133939154331623
"255","1898","163",163,"Socialist",0.0168225303665484,5,0,0.32242287434161,-0.149145436955821,0,0,0.215146698942249
"256","1903","163",163,"Liberal",0.00323751594231336,6,0,0.3861964093005,-0.277347199058177,0,0,0.163570719906779
"257","1907","163",163,"Socialist",0.0266890548362865,4,0,0.343732048959392,0.0270867394282179,0,0,0.0234722521158768
"258","1912","163",163,"Socialist",0.12720757614538,5,0,0.423342718198106,-0.110698745840799,0,0,0.0738230037091965
"259","1890","164",164,"Liberal",0.00709219858156024,4,0,0.401392805263608,-0.394300606682047,0,0,0.143981570077593
"260","1893","164",164,"Liberal",0.164499493101776,5,0.333333333333333,0.464979944461586,-0.271741525984044,0,0,0.0355611810795396
"261","1898","164",164,"Liberal",0.0985143261407853,6,0.142857142857143,0.342633533781394,-0.204280155642023,0,0,0.234924360955448
"262","1903","164",164,"Liberal",0.0550854628532747,4,0.166666666666667,0.312320189541378,-0.0595278388898291,0,0,0.196311710373424
"263","1903","164",164,"Liberal",0.0155393398616205,5,0.142857142857143,0.28447200272222,-0.108699761805739,0,0,0.20510665698329
"264","1912","164",164,"Socialist",0.00693225945634979,4,0,0.324723141090177,-0.17232849129872,0,0,0.214274198301769
"265","1893","165",165,"Minority",0.0653309115677149,4,0,0.473095697582018,-0.407764786014304,0,0,0.0948913425517609
"266","1898","165",165,"Minority",0.0438247011952191,3,0,0.471784503775941,-0.427959802580722,1,1,0.0999317882059871
"267","1903","165",165,"Minority",0.146534438844632,4,0,0.41911884246464,-0.0773315991979624,0,0,0.100901289511649
"268","1912","165",165,"Liberal",0.0101579239742878,5,0.166666666666667,0.310649948416792,-0.101380842790255,0,0,0.212366114877382
"269","1890","166",166,"Minority",0.139402702298449,4,0.2,0.457097272772598,-0.317694570474149,1,1,0.192890546959436
"270","1893","166",166,"Minority",0.0629057420361331,4,0.166666666666667,0.348548135473806,0.192038649287907,1,1,0.210352452790567
"271","1898","166",166,"Liberal",0.0265990159901599,3,0.25,0.396012710127101,-0.369413694136941,0,0,0.190669834280957
"272","1903","166",166,"Minority",0.0182099447513812,4,0,0.317966850828729,-0.166939226519337,0,0,0.169605622072708
"273","1903","166",166,"Minority",0.078115475050074,4,0,0.392057824610293,-0.192937385700601,0,0,0.13340857233284
"274","1907","166",166,"Liberal",0.147546531302876,4,0.25,0.426019928558,-0.278473397255123,0,0,0.0857108615932133
"275","1912","166",166,"Minority",0.0151674741942279,4,0,0.281932448564005,-0.0635840179762657,0,0,0.240476769566924
"276","1890","167",167,"Liberal",0.0312279151943463,4,0.2,0.334231448763251,-0.303003533568905,0,0,0.20746838319925
"277","1893","167",167,"Socialist",0.0361119099461814,5,0,0.372006080276077,0.114826835380633,0,0,0.0598676869823053
"278","1898","167",167,"Socialist",0.0689134808853119,4,0,0.434931014659385,-0.362568266743317,0,0,0.0884469600326568
"279","1903","167",167,"Liberal",0.0146624944121592,4,0,0.404291461779169,-0.36259871852183,0,0,0.168398193393245
"280","1907","167",167,"Socialist",0.017776979709104,5,0,0.376240925531642,0.27011774363184,0,0,0.0469664701749121
"281","1912","167",167,"Socialist",0.256128845167191,5,0,0.42858417542216,-0.0557674719489616,0,0,0.0982483151249679
"282","1890","168",168,"Liberal",0.244202994567378,4,0.25,0.449980124552802,-0.205777129985425,0,0,0.244404815401758
"283","1898","168",168,"Liberal",0.176090050459309,5,0,0.391124336912925,-0.130547289429422,0,0,0.320829390593501
"284","1903","168",168,"Liberal",0.0250161957442567,5,0,0.322220561120247,-0.201624557731599,0,0,0.303169284986405
"285","1907","168",168,"Liberal",0.02010215078956,5,0,0.309826156225107,-0.126189025818846,0,0,0.339130474220128
"286","1907","168",168,"Liberal",0.143145781174507,4,0.25,0.426099178635745,-0.0681249176439584,0,0,0.264214788770572
"287","1907","168",168,"Liberal",0.0258142992296256,5,0,0.289363427490201,-0.0356354462314727,0,1,0.332518292939906
"288","1912","168",168,"Socialist",0.00193896149222478,4,0,0.333462597432815,-0.160933803854655,0,0,0.245693336785533
"289","1890","169",169,"Liberal",0.186092522548734,4,0,0.470526622054117,-0.284434099505383,0,0,0.211684772994108
"290","1890","169",169,"Socialist",0.207288629737609,4,0,0.222157434402332,0.236559766763848,0,0,0.117344169347976
"291","1893","169",169,"Socialist",0.0862369337979094,4,0,0.249846279975405,0.122309899569584,1,1,0.102492420868061
"292","1898","169",169,"Socialist",0.0630288732755526,5,0,0.293912508333761,0.142930406687522,0,0,0.114232938741377
"293","1903","169",169,"Socialist",0.150785174637079,4,0,0.403544163601123,-0.0121039515841937,0,0,0.152400565239183
"294","1907","169",169,"Socialist",0.0432815708418892,5,0,0.350295174537988,0.084958932238193,0,0,0.05285855375619
"295","1912","169",169,"Socialist",0.117957032833401,4,0,0.398720250159245,-0.0453703167525624,0,0,0.134249029130558
"296","1898","174",174,"Liberal",0.0831578947368421,4,0.4,0.285321637426901,0.211578947368421,1,1,0.185224305150869
"297","1903","174",174,"Socialist",0.169445467943994,5,0,0.228399042004422,0.215595062638172,0,0,0.0552333514257503
"298","1912","174",174,"Liberal",0.00280188614774823,4,0.2,0.313093692339233,0.0664252033075924,1,1,0.247232162537093
"299","1893","175",175,"Liberal",0.198425196850394,4,0.25,0.292988376452943,0.312635920509936,0,0,0.213485304781862
"300","1898","175",175,"Liberal",0.0382104569683177,5,0.166666666666667,0.312870575552494,0.175540516260406,0,0,0.239160839641585
"301","1903","175",175,"Socialist",0.0590175403528059,5,0,0.270151416720804,0.0692619059517265,0,0,0.0655451792098525
"302","1907","175",175,"Liberal",0.0866692278140607,4,0.25,0.233576642335766,0.0990395697272378,0,0,0.251843740094032
"303","1912","175",175,"Socialist",0.106421070752281,4,0,0.341470132552935,-0.0235840936477879,0,0,0.270724395899806
"304","1890","176",176,"Catholic",0.0691463295109281,4,0,0.298637655591493,-0.0041654415368029,1,0,0.385047823307796
"305","1893","176",176,"Catholic",0.111105980143154,4,0,0.287693373354883,0.148833987531748,1,1,0.257537037260143
"306","1898","176",176,"Catholic",0.0250563174327155,4,0.166666666666667,0.336956092162985,-0.0159269651819942,1,0,0.278170106838032
"307","1903","176",176,"Socialist",0.112248466160155,5,0,0.367612931938837,-0.154051562450329,0,0,0.144219854380043
"308","1907","176",176,"Liberal",0.0169836048035518,3,0.666666666666667,0.381850276819385,-0.364866672015834,0,0,0.140509407648012
"309","1912","176",176,"Liberal",0.0882855033680908,3,0.666666666666667,0.487081295561502,-0.398795792193411,0,0,0.0567020427320349
"310","1890","179",179,"Liberal",0.152896295552655,5,0,0.270253990563196,0.203443429374561,1,0,0.128219798421541
"311","1893","179",179,"Liberal",0.113274336283186,6,0,0.315789473684211,0.323008849557522,0,1,0.20663660013405
"312","1898","179",179,"Liberal",0.236273817925194,5,0,0.260127028934368,0.379628322747589,0,0,0.238077750067736
"313","1907","179",179,"Liberal",0.179693253498127,6,0,0.250520316352342,0.296308155358458,0,0,0.281005871440528
"314","1903","18",18,"Socialist",0.0161275110817693,4,0,0.311232669999057,0.13986607563897,1,0,0.13860364812149
"315","1907","18",18,"Socialist",0.201101412355299,4,0,0.256172030120256,0.308620237515454,0,0,0.0293788969401048
"316","1912","18",18,"Catholic",0.0912987252909662,3,NA,NA,NA,NA,NA,NA
"317","1890","181",181,"Liberal",0.016900826446281,4,0,0.346776859504132,-0.329876033057851,0,0,0.278989506788095
"318","1893","181",181,"Liberal",0.0549416582953404,4,0.5,0.343443319681632,-0.288501661386292,0,0,0.237162510000212
"319","1898","181",181,"Liberal",0.00358448634310699,4,0,0.276184672736397,-0.27260018639329,1,1,0.350164155885439
"320","1903","181",181,"Socialist",0.0720071738155732,5,0,0.303273053355253,-0.187714840830967,0,0,0.328786555625657
"321","1907","181",181,"Socialist",0.0809201307800093,5,0,0.307858477347034,-0.179151097617936,0,0,0.208398832594486
"322","1907","181",181,"Liberal",0.17937780956273,3,0.6,0.489170412750306,-0.309792603187577,0,0,0.0731610426738251
"323","1912","181",181,"Socialist",0.095850923782287,4,0,0.401811248808389,-0.057129238730764,0,0,0.104540974469758
"324","1893","182",182,"Liberal",0.105394509502784,5,0,0.37085813015934,-0.25544250335957,1,0,0.225026343080611
"325","1898","182",182,"Liberal",0.0381260737412449,5,0,0.338112858464385,-0.290636976344654,1,1,0.297465851142522
"326","1903","182",182,"Socialist",0.0897024424740249,6,0,0.377250720774629,-0.237094054289289,0,0,0.202080183498309
"327","1907","182",182,"Socialist",0.129329552359733,6,0,0.412624063196273,-0.228656066437108,0,0,0.11179459790378
"328","1907","182",182,"Liberal",0.0106195935016527,5,0.2,0.422720772675059,-0.372670370630846,0,0,0.0906779646642695
"329","1912","182",182,"Socialist",0.167775637078674,4,0,0.460484239378712,-0.292708602300038,0,0,0.0285026318645657
"330","1890","183",183,"Catholic",0.057813750778262,5,0,0.389380058703193,-0.292324112781286,1,1,0.115889331468506
"331","1890","183",183,"Liberal",0.0166701052197235,4,0,0.390736538064782,-0.374066432845059,0,0,0.125263461935218
"332","1893","183",183,"Liberal",0.0769381746810598,5,0.2,0.384192647391862,-0.297697591907602,0,0,0.123935874721849
"333","1898","183",183,"Liberal",0.0189317909189163,3,0,0.375583453092153,-0.356651662173237,0,0,0.158988647257106
"334","1903","183",183,"Socialist",0.0517644500027187,4,0,0.354657169267577,-0.302892719264858,1,0,0.120071627576605
"335","1907","183",183,"Socialist",0.0162292460560545,4,0,0.337552406940389,-0.321323160884335,0,0,0.151153958562691
"336","1912","183",183,"Socialist",0.0693547720984017,4,0,0.367099847193734,-0.297745075095332,0,0,0.175991723254612
"337","1890","184",184,"Liberal",0.0356393593614082,6,0.166666666666667,0.302282147060329,-0.238704395435706,0,0,0.226475205293756
"338","1893","184",184,"Socialist",0.018908594233519,5,0,0.366434044006232,-0.346138250421495,0,0,0.114400718460638
"339","1893","184",184,"Socialist",0.00132399071169598,3,0,0.349981667820915,-0.348657677109219,1,1,0.161735134572304
"340","1898","184",184,"Socialist",0.0372264302418933,5,0,0.346678767147195,-0.308597158714091,0,0,0.162551167587105
"341","1903","184",184,"Socialist",0.15621034823065,5,0,0.426861310126501,-0.270650961895851,0,0,0.0702670490621183
"342","1907","184",184,"Socialist",0.141272835048769,6,0,0.418699143180471,-0.27713531281996,1,1,0.13576161312499
"343","1912","184",184,"Socialist",0.211304276330815,6,0,0.446159889643076,-0.220512867361574,0,0,0.0908650498335412
"344","1890","185",185,"Catholic",0.0330400430957084,4,0,0.424717184413719,-0.39167714131801,0,0,0.106806154981795
"345","1890","185",185,"Liberal",0.025500337306049,3,0.25,0.425140544187092,-0.399640206881043,0,0,0.0918418907531346
"346","1893","185",185,"Liberal",0.0393086949348292,4,0.4,0.423279986800858,-0.383971291866029,0,0,0.0992503085048403
"347","1898","185",185,"Catholic",0.134058109711748,5,0,0.394594801515906,-0.103969681889523,0,0,0.125865510838907
"348","1903","185",185,"Catholic",0.00748853627156665,5,0,0.352587998548478,-0.345099462276911,0,0,0.176975647204169
"349","1907","185",185,"Liberal",0.0591996816915819,4,0.5,0.42266810663332,-0.363468424941738,0,0,0.106808306600068
"350","1912","185",185,"Catholic",0.105617515547104,6,0,0.344940124376831,-0.237652258827157,0,0,0.22197044472886
"351","1890","187",187,"Socialist",0.0693666710075097,4,0,0.310977991926032,-0.241611320918522,0,0,0.322358395028897
"352","1893","187",187,"Socialist",0.0618983845316816,5,0,0.337741692475098,-0.261069724617059,0,0,0.162328899082151
"353","1898","187",187,"Socialist",0.0915234915723475,5,0,0.381402165947398,-0.289878674375051,0,0,0.159445244742161
"354","1903","187",187,"Socialist",0.144019676312513,4,0,0.432362675735584,-0.23165214222816,0,0,0.0702147224648121
"355","1907","187",187,"Socialist",0.162726283509744,4,0,0.419873380156296,-0.257147096646553,0,0,0.117361759678083
"356","1912","187",187,"Socialist",0.254438786805402,5,0.2,0.471087004649103,-0.184015939783042,0,0,0.101692510881558
"357","1893","188",188,"Liberal",0.00151413189771199,5,0.25,0.264510430686406,-0.210632570659489,0,0,0.283024049686304
"358","1898","188",188,"Liberal",0.0591543832428238,4,0,0.327821955003879,-0.268667571761055,0,0,0.301942518207196
"359","1898","188",188,"Socialist",0.012725257583843,4,0,0.330446204999795,-0.189195845819137,0,0,0.258712195496175
"360","1903","188",188,"Socialist",0.109874530374991,5,0,0.336712270504005,-0.193379173459984,0,0,0.227436887171558
"361","1903","188",188,"Socialist",0.101296520846936,4,0,0.337810527624911,-0.236514006777975,0,0,0.205596852696264
"362","1907","188",188,"Socialist",0.0458125623130609,4,0,0.314805583250249,-0.268993020937188,1,1,0.192968203488431
"363","1912","188",188,"Socialist",0.112562130732439,6,0,0.356888305354966,-0.23030573009472,0,0,0.20350008959122
"364","1890","19",19,"Catholic",0.126286158027567,4,0,0.252572316055135,0.148611920015531,1,1,0.305706340834097
"365","1893","19",19,"Catholic",0.21085391947092,5,0,0.183232834078973,0.238572262205797,1,1,0.28758916968593
"366","1898","19",19,"Catholic",0.0916855974557019,6,0,0.294956837801,0.257791912766924,0,0,0.146719897955112
"367","1903","19",19,"Catholic",0.103994542560449,5,0,0.249298870613204,0.160842871219586,0,0,0.161580564396044
"368","1907","19",19,"Catholic",0.198194377120698,5,0,0.239396509936985,0.272539990305381,0,0,0.195396935137475
"369","1912","19",19,"Socialist",0.0292148824658814,6,0,0.273571688028644,0.0172279591095428,0,0,0.11896423671032
"370","1893","190",190,"Liberal",0.0571917606091011,5,0.333333333333333,0.385055775246414,-0.235672549135336,0,0,0.159444452959884
"371","1898","190",190,"Catholic",0.0901823281907433,4,0,0.415918653576438,-0.325736325385694,1,1,0.089028145004858
"372","1903","190",190,"Liberal",0.0453689252462192,4,0.25,0.433937893547172,-0.388568968300953,0,0,0.138993107042567
"373","1907","190",190,"Liberal",0.0329251584175372,4,0.571428571428571,0.449991436889878,-0.358109265285152,0,0,0.098574512751609
"374","1912","190",190,"Liberal",0.136318407960199,4,0,0.324810728963876,0.305213065109236,1,1,0.18970473495365
"375","1903","191",191,"Liberal",0.0241242368561437,6,0,0.280540572580167,0.0135735878134076,0,0,0.154658559793153
"376","1912","191",191,"Liberal",0.20894438138479,4,0,0.254892167990919,0.278910329171396,0,0,0.236055831153099
"377","1890","192",192,"Socialist",0.186081441922563,5,0,0.422329773030708,-0.236248331108144,0,0,0.20511576602854
"378","1893","192",192,"Socialist",0.200899647260606,5,0,0.436296559981878,-0.188537587780331,1,1,0.163731380783699
"379","1903","192",192,"Socialist",0.308675152077786,5,0,0.492951897002419,-0.074194415263968,0,0,0.0247496459839074
"380","1907","192",192,"Socialist",0.181890673566698,5,0,0.469804227896304,-0.287913554329607,0,0,0.0481620094273034
"381","1912","192",192,"Socialist",0.059005792806143,4,0.142857142857143,0.480749023305941,-0.404378283712785,0,0,0.0343292893934512
"382","1890","193",193,"Liberal",0.117049538990467,4,0.25,0.375996249413971,0.0547741834661666,0,0,-0.027267618470141
"383","1893","193",193,"Catholic",0.160431505428394,6,NA,NA,NA,NA,NA,NA
"384","1893","193",193,"Catholic",0.118897132911972,4,NA,NA,NA,NA,NA,NA
"385","1898","193",193,"Catholic",0.03312265917603,6,NA,NA,NA,NA,NA,NA
"386","1903","193",193,"Socialist",0.219073894564164,5,0,0.260085004846768,0.318544478413243,0,0,0.0357165218707897
"387","1907","193",193,"Socialist",0.161847697345503,5,0,0.278339023200725,0.309064307113495,0,0,0.0503420144317197
"388","1907","193",193,"Socialist",0.213932962067879,6,0,0.252442996742671,0.334191446884522,0,0,0.00199932541974146
"389","1912","193",193,"Socialist",0.0813656040928769,3,0,0.307851239669421,0.0889413616686344,1,0,0.0784229771740468
"390","1890","194",194,"Socialist",0.156989563427899,4,0,0.449311578225293,0.186584350041648,0,0,0.0134979649862605
"391","1890","194",194,"Socialist",0.17367819673834,5,0,0.408850109068246,-0.0204632803573284,0,0,0.123344246806689
"392","1893","194",194,"Socialist",0.183019693654267,5,0,0.405339168490153,0.0165426695842451,0,0,0.0729478984347446
"393","1898","194",194,"Socialist",0.173985192749553,5,0,0.440685899072419,-0.0502510424644711,0,0,0.0717923365631
"394","1903","194",194,"Socialist",0.218049471785622,5,0,0.468564802885854,0.00479902087090955,0,0,0.013936036219507
"395","1907","194",194,"Socialist",0.133351836899475,5,0,0.430788251917642,0.0583114654824384,0,0,0.01978588687417
"396","1912","194",194,"Socialist",0.187990946611636,4,0,0.484045621976656,-0.0880486397727777,0,0,0.0187660096449002
"397","1912","195",195,"Liberal",0.194032639840538,5,0,0.270213031020306,0.345023047215647,1,1,0.245734436146673
"398","1890","196",196,"Liberal",0.0448577680525164,3,0,0.422562606370046,0.182409433503525,1,1,0.157066249766955
"399","1893","196",196,"Catholic",0.0318932827735645,4,NA,NA,NA,NA,NA,NA
"400","1893","196",196,"Socialist",0.110620569580898,4,0,0.348526302698669,0.0205820171620445,1,1,0.0555038940557741
"401","1898","196",196,"Socialist",0.127861923212399,4,0,0.369566748855231,0.0253610426206411,0,0,0.0382612135908489
"402","1903","196",196,"Socialist",0.106316482070402,4,0,0.355576269327777,-0.0402456409694046,0,0,0.235738016386508
"403","1903","196",196,"Socialist",0.0711832483935298,4,0,0.323343673831154,0.0256481276312874,0,0,0.107606263447897
"404","1907","196",196,"Socialist",0.0775572237829871,3,0,0.334454013724497,0.162206972781283,0,0,0.0490385680203536
"405","1912","196",196,"Socialist",0.201853802401517,3,0,0.476637876553613,0.0303770802612176,0,0,0.0581299227319235
"406","1893","197",197,"Catholic",0.287135852321892,7,NA,NA,NA,NA,NA,NA
"407","1898","197",197,"Catholic",0.0404040404040404,7,NA,NA,NA,NA,NA,NA
"408","1903","197",197,"Liberal",0.0908519991626544,5,0,0.251552578326704,0.210383085618589,1,1,0.273261067499634
"409","1907","197",197,"Liberal",0.252399439232179,6,0.166666666666667,0.237032244149682,0.361587404292031,1,0,0.204271292038915
"410","1912","197",197,"Liberal",0.0116183425868805,5,0,0.316214271026116,0.248046473370348,1,1,0.105449748036633
"411","1890","198",198,"Catholic",0.16133416980343,3,0,0.297365119196989,0.455144291091593,0,0,-0.0336818145498287
"412","1893","198",198,"Catholic",0.037956204379562,6,NA,NA,NA,NA,NA,NA
"413","1903","198",198,"Catholic",0.173205596107056,4,0,0.250836374695864,0.325197688564477,1,1,0.0776711671824051
"414","1907","198",198,"Catholic",0.253634300435503,5,0,0.208673250322027,0.352082438814942,0,0,0.0445344481543166
"415","1912","198",198,"Socialist",0.0776462395543175,5,0,0.203284586815227,0.0898909006499536,0,0,0.0589392672940682
"416","1898","2",2,"Socialist",0.145362590749653,4,0,0.343584305408271,0.343584305408271,0,0,0.0768164231891785
"417","1907","2",2,"Liberal",0.103042793065826,3,0.25,0.334404170202449,0.212692447569402,1,1,0.242349572092826
"418","1912","2",2,"Liberal",0.147244596395666,3,0.333333333333333,0.339340557454946,0.314944660137915,1,1,0.14848348025126
"419","1912","2",2,"Liberal",0.0720020553664333,3,0.25,0.393795362579485,0.325390198471321,1,1,0.147496152535893
"420","1890","20",20,"Liberal",0.211483028413436,5,0,0.432378375198541,-0.220895346785105,0,0,0.287092643372084
"421","1893","20",20,"Liberal",0.119420325302678,5,0.2,0.380212791977498,-0.0338755044637397,1,1,0.286518274483089
"422","1898","20",20,"Liberal",0.191387828430272,6,0.142857142857143,0.405962272625197,-0.0479452054794521,0,0,0.282809765729273
"423","1903","20",20,"Liberal",0.0366800048502486,4,0.4,0.374317933794107,-0.0785740269188796,0,0,0.244558019163756
"424","1903","20",20,"Liberal",0.0762675553439657,5,0.333333333333333,0.365246369911926,-0.133920495120209,0,0,0.246079963047601
"425","1907","20",20,"Liberal",0.0451610283068676,6,0.25,0.304715103764773,-0.083621004751655,0,0,0.309865011852367
"426","1912","20",20,"Liberal",0.0548075777433575,5,0.166666666666667,0.374041860280392,-0.0364192382541006,0,0,0.165070274408299
"427","1890","200",200,"Socialist",0.0409188473306846,3,0,0.385714938119377,0.0775905375165548,1,1,0.101234774774307
"428","1893","200",200,"Socialist",0.113781098751804,5,0,0.4203956865076,0.206674025643203,0,0,0.06897736453458
"429","1903","200",200,"Socialist",0.175501168367974,5,0,0.475648751691059,-0.284251629565859,0,0,0.0411268600402999
"430","1907","200",200,"Socialist",0.109100296187604,4,0,0.487024809108448,-0.377924512920845,1,0,0.0213765229030417
"431","1890","201",201,"Catholic",0.179106624097564,4,0,0.485316535795438,-0.306209911697874,0,0,0.165999637670972
"432","1893","201",201,"Catholic",0.149324061577876,6,0,0.425944140723288,-0.264428025710822,0,0,0.249335584772758
"433","1893","201",201,"Catholic",0.133538984263233,5,0,0.462848712446352,-0.311829399141631,0,0,0.146663482675599
"434","1898","201",201,"Catholic",0.141900189795691,4,0,0.477131480034238,-0.331026013174054,1,1,0.166622827999767
"435","1903","201",201,"Catholic",0.0665256030469742,4,0,0.441500916913528,-0.371420510650303,0,0,0.105170229287267
"436","1907","201",201,"Catholic",0.0493178962484294,4,0,0.40071351642434,-0.350206426135344,1,0,0.137153977893703
"437","1912","201",201,"Socialist",0.0294989854846262,5,0,0.416196570715066,-0.379785502463823,1,0,0.12206909628168
"438","1912","206",206,"Catholic",0.230530962659447,4,0.166666666666667,0.496963488695398,-0.238628326138387,0,0,0.117541528313836
"439","1890","207",207,"Socialist",0.0445759246638994,3,0,0.38203952667121,-0.337463602007311,0,0,0.179127068106321
"440","1893","207",207,"Socialist",0.0957674096315972,3,0,0.400190553181661,-0.304423143550064,0,0,0.122621478465894
"441","1893","207",207,"Socialist",0.288127948931446,6,0,0.456147654732168,-0.0311545933943936,0,0,0.0518118709187733
"442","1898","207",207,"Socialist",0.148403604405384,3,0,0.447658248970965,-0.29925464456558,0,0,0.0669891386876036
"443","1903","207",207,"Socialist",0.209286115795391,4,0,0.490207982012366,-0.222462057335582,0,0,0.027791444124875
"444","1907","207",207,"Socialist",0.0913621906756652,5,0,0.414455821891242,-0.186079435264914,0,0,0.135192295633659
"445","1912","207",207,"Socialist",0.190894431673929,4,0,0.465227982296634,-0.0206539266476825,0,0,0.0446378145016354
"446","1893","208",208,"Socialist",0.125449255519425,4,0,0.464658565805237,0.204664922618029,0,0,0.0548891139851512
"447","1907","208",208,"Socialist",0.227711738484398,5,0,0.456360229989017,0.0152303120356612,0,0,0.00747746065993671
"448","1912","208",208,"Socialist",0.247137879542061,4,0,0.492548238807718,0.07642081222733,0,0,0.0219610860790054
"449","1893","209",209,"Socialist",0.173134617245718,5,0,0.437772186199555,-0.262314913384303,0,0,0.159447287380497
"450","1898","209",209,"Socialist",0.0220325098089941,4,0,0.27374638899668,-0.247962747380675,0,0,0.296351690620892
"451","1890","210",210,"Catholic",0.18270234014011,4,0,0.464897898345506,-0.0729244298703234,1,1,0.201244278689917
"452","1893","210",210,"Catholic",0.175643605995975,5,0,0.457027847036559,-0.0488149238487188,0,0,0.192153856698229
"453","1898","210",210,"Catholic",0.197637838732822,4,0,0.49323914123296,-0.165489265411998,1,0,0.148371369946446
"454","1903","210",210,"Catholic",0.0244564156614748,4,0,0.422141546629192,-0.397685130967717,0,0,0.108230912541294
"455","1907","210",210,"Catholic",0.0549747144724132,5,0,0.415634411046082,-0.360659696573669,0,0,0.150249820219629
"456","1912","210",210,"Socialist",0.0679203476976394,5,0.142857142857143,0.48395023151436,-0.368945828480527,0,0,0.0354231573414802
"457","1912","210",210,"Socialist",0.0615237600868294,6,0,0.433662875749139,-0.344627436175735,1,0,0.0652949602759663
"458","1893","211",211,"Catholic",0.000843544663470086,4,0,0.431672882258924,0.302255372047594,0,0,0.0370633156084496
"459","1903","211",211,"Catholic",0.155892874888204,4,0,0.438773228659446,-0.0242720858590877,0,0,0.108407055532384
"460","1903","211",211,"Catholic",0.0785733347256546,5,0,0.41189506538109,-0.307865455347094,0,0,0.111063096965022
"461","1907","211",211,"Catholic",0.107932899749532,5,0,0.417103407631917,-0.309170507882385,1,0,0.133956464106469
"462","1912","211",211,"Catholic",0.0204224796345174,5,0,0.375584219710455,-0.350093387465911,1,1,0.140548275168473
"463","1890","212",212,"Liberal",0.129044138478101,5,0.2,0.4562864751544,-0.327242336676299,1,1,0.0819375231848156
"464","1893","212",212,"Catholic",0.00137034849379797,5,0,0.338074424099232,-0.196077968103957,0,0,0.201345524679061
"465","1898","212",212,"Catholic",0.0219993590589477,5,0,0.397213791543348,-0.312496465398609,1,1,0.115055933865063
"466","1903","212",212,"Liberal",0.0888430720209925,5,0.428571428571429,0.402417881073989,-0.313574809052997,0,0,0.128420134277756
"467","1903","212",212,"Liberal",0.0283554881375327,6,0.166666666666667,0.338176786023179,-0.291498676034224,0,0,0.180230437298808
"468","1907","212",212,"Liberal",0.0470823915069579,5,0.428571428571429,0.343289018393735,-0.296206626886777,0,0,0.158063355136418
"469","1912","212",212,"Socialist",0.00227747371453263,6,0,0.307747011378367,-0.291552642949734,0,0,0.275830163242571
"470","1907","213",213,"Catholic",0.0479267793438213,4,0,0.478332066202702,0.348763085560559,1,0,0.056283205153934
"471","1912","213",213,"Catholic",0.212298260322784,7,0,0.452813875497799,-0.149156361349822,1,0,0.0714675123136879
"472","1890","219",219,"Liberal",0.0751850783578502,5,0.2,0.424574560138448,-0.183684261128738,0,0,0.139500581682439
"473","1893","219",219,"Liberal",0.254387230155296,5,0.2,0.491562094331458,-0.0745228135968075,0,0,0.19758272822313
