"","Year3","id","Electoral_District_Number","clea","marg","lcomp","lnonsocsup","votensoc","libmarg","difcro2","rightmar2","diffvotensoc"
"68","1903","118",118,"Socialist",0.14252607184241,3,0,0.308723721238206,0.21530651658114,0,0,0.0281708656563813
"69","1907","118",118,"Socialist",0.158267557174661,4,0,0.298775551507792,0.435438170410848,0,0,-0.014035205302732
"70","1912","118",118,"Socialist",0.0612320863577145,4,0,0.380839382095663,0.313372417643774,0,0,0.077872141187683
"71","1893","119",119,"Conservative",0.135051800690676,3,0.6,0.314165022200296,0.215250370004933,0,0,0.0472925386437679
"72","1898","119",119,"Socialist",0.0105838982043049,4,0,0.350220002378404,0.0594303722202402,0,0,0.0770504410332276
"73","1903","119",119,"Socialist",0.192784945352946,4,0,0.453803380173665,0.231325499219328,0,0,0.04164574757582
"74","1907","119",119,"Socialist",0.000881510321016687,4,0,0.399569039398614,0.227796958789392,0,0,-0.00698744424686287
"75","1912","119",119,"Socialist",0.156538452412026,3,0,0.486391571553995,0.149158816410792,0,0,0.0603864152757325
"76","1903","120",120,"Conservative",0.166948579161028,4,0.5,0.47265448804691,0.10605548037889,1,0,0.0429522020564241
"77","1912","120",120,"Conservative",0.183893214682981,3,0.5,0.475328142380423,-0.0609566184649611,0,0,0.126977727105542
"78","1890","121",121,"Conservative",0.0803805400478523,5,0,0.345391363791728,0.0872165888116668,0,0,0.168248712440235
"79","1893","121",121,"Conservative",0.0333687691944248,4,0,0.356602882116702,-0.0473659343255374,0,0,0.221895970718434
"80","1912","121",121,"Conservative",0.0725734997986307,3,0.166666666666667,0.48622633910592,0.316713652839307,0,0,0.0190269441961435
"81","1912","121",121,"Conservative",0.156,3,0,0.296,0.281,0,0,0.16
"82","1907","122",122,"Conservative",0.0909168552760815,4,0.2,0.417986932570355,0.0792586582397404,0,0,-0.00963024887165698
"83","1912","122",122,"Conservative",0.0708611256838791,4,0.2,0.393914412051263,0.0444802518174324,0,0,0.117359154705182
"84","1912","122",122,"Conservative",0.199,3,0.25,0.467,0.003,0,0,-0.011
"85","1890","123",123,"Conservative",0.0689390711546656,4,0.5,0.476438005965062,0.301533873029399,0,0,-0.00151550377922605
"86","1903","123",123,"Conservative",0.0908802285895706,4,0.5,0.413921739820621,-0.0658782443051036,0,0,0.181804790625819
"87","1903","123",123,"Socialist",0.0170104105283834,5,0,0.267491651934787,0.0120604989196621,0,0,0.0342965653697198
"88","1907","123",123,"Conservative",0.115792372297948,4,0.5,0.41150351094589,0.00826104915324249,0,0,0.0979057834560749
"89","1912","123",123,"Socialist",0.0730442822705809,3,0,0.395997754515735,-0.0491695010401875,0,0,0.0948528645548553
"90","1912","123",123,"Socialist",0.018,3,0,0.4,-0.164,0,0,0.122
"91","1893","124",124,"Socialist",0.178667038482989,5,0,0.4638315672058,0.20515895147797,0,0,0.0569033695929111
"92","1903","124",124,"Socialist",0.122116271916333,5,0,0.493836216075527,0.260606204008234,0,0,0.0268594510718502
"93","1907","125",125,"Socialist",0.0484761709961137,4,0,0.347187563919002,0.152178359582737,0,0,0.0141156167529253
"94","1912","125",125,"Socialist",0.204769672958906,4,0,0.423793987415521,0.0294803076206013,0,0,0.0471296588347623
"95","1898","126",126,"Socialist",0.0471590186856489,4,0,0.407334434981569,0.450044489640269,0,0,0.029605606369224
"96","1898","126",126,"Socialist",0.0584947095228588,3,0,0.402275903373927,0.0944300259532841,0,0,0.0198671850041889
"97","1903","126",126,"Socialist",0.153472871842844,5,0,0.461880261927035,0.137570159027128,0,0,0.0259621160696626
"98","1907","126",126,"Socialist",0.18450483548544,4,0,0.476200767194338,-0.0922794316278567,0,0,0.0397926331995095
"99","1890","127",127,"Conservative",0.0502666624085843,3,0.333333333333333,0.449908983489286,-0.254654616293552,0,0,0.0579630799831002
"100","1898","127",127,"Socialist",0.0922419764488571,4,0,0.49324636342646,0.365302470561071,0,0,0.00522824977903102
"101","1903","127",127,"Socialist",0.182765247294427,4,0,0.480757560432892,0.0919894811368464,0,0,0.0430048874247507
"102","1890","128",128,"Conservative",0.0173732021196064,5,0,0.276949280847843,0.0525738077214231,0,0,0.190619547896908
"103","1893","128",128,"Socialist",0.00515626644217615,6,0,0.346592304184643,0.143849310743976,0,0,0.0139273764428954
"104","1898","128",128,"Socialist",0.117838096540407,6,0,0.384999316286066,0.115581840557911,0,0,0.0532898096804604
"105","1903","128",128,"Socialist",0.0718906826289377,5,0,0.416319003567326,0.182115000906947,0,0,0.0534416882938282
"106","1907","128",128,"Socialist",0.000591949486977161,3,0,0.394773931672116,0.19582252790619,0,0,0.00194014801569292
"107","1912","128",128,"Socialist",0.129308927494931,3,0,0.476050857675234,0.177316819203157,0,0,0.023935924253018
"108","1897","129",129,"Conservative",0.00816671360180232,3,0.2,0.43389186144748,0.289988735567446,0,0,-0.0140701711690233
"109","1898","129",129,"Conservative",0.0611368364539293,3,0.333333333333333,0.434400375813704,0.184551372391115,0,0,0.0017567956167111
"110","1903","129",129,"Catholic",0.130397335783188,3,0.666666666666667,0.419039963252182,-0.00338768948093709,0,0,0.156337062032339
"111","1907","129",129,"Socialist",0.158058667658407,3,0,0.319278508669983,NA,0,0,0.0249018346614641
"112","1912","129",129,"Socialist",0.145213384436501,4,0,0.38503940398777,0.0117135351621377,0,0,0.057873898628792
"113","1912","13",13,"Conservative",0.0932837533856677,4,0,0.362759950420052,0.122572648395538,0,0,0.055618131270475
"114","1898","130",130,"Conservative",0.104415760869565,3,0,0.491236413043478,0.268885869565217,0,0,-0.0195814940724559
"115","1898","130",130,"Conservative",0.0833829306034995,3,0,0.478812046184978,0.273538864420902,0,0,0.00404976012622987
"116","1903","130",130,"Conservative",0.109622484220555,3,0.333333333333333,0.459628438728117,0.163213052280576,0,0,0.0173758933589993
"117","1907","130",130,"Conservative",0.17505193291787,4,0.25,0.467092263261894,0.0590768607184476,0,0,0.0228997701975763
"118","1912","130",130,"Conservative",0.137772567409144,3,0.333333333333333,0.431699882766706,0.0223681125439625,0,0,0.00710458446141582
"119","1890","131",131,"Conservative",0.0727475084737189,3,0.333333333333333,0.4712905347296,0.270551929984317,0,0,0.00623320098053382
"120","1898","131",131,"Conservative",0.0585059751764869,3,0.6,0.404281825312601,-0.0994786139436165,0,0,0.142275434765886
"121","1903","131",131,"Socialist",0.0392041901188243,5,0,0.409709193245779,-0.160412757973734,0,0,0.102674347126892
"122","1907","131",131,"Conservative",0.0213537180591444,5,0.142857142857143,0.383828596037898,-0.123672121734137,0,0,0.210801397413313
"123","1912","131",131,"Socialist",0.0945793524416136,5,0,0.428609341825902,-0.112758757961783,0,0,0.0968308760941288
"124","1890","132",132,"Socialist",0.111088877772219,3,0,0.427146906786727,NA,0,0,0.0959816854160294
"125","1893","132",132,"Socialist",0.085919076579372,3,0,0.403096686111456,0.0461400024823135,0,0,0.03625767104473
"126","1898","132",132,"Socialist",0.251059203924629,5,0,0.497268368825956,0.224049503846583,0,0,0.0469259803219534
"127","1912","133",133,"Conservative",0.0525804423615477,4,0,0.436789163856661,-0.211550551523118,0,0,0.0886143369389742
"128","1890","134",134,"Catholic",0.00787359111254921,3,NA,NA,NA,NA,NA,NA
"129","1898","134",134,"Conservative",0.225539166715637,4,0.5,0.44913909619792,-0.029499911852853,0,0,0.153254520823357
"130","1903","134",134,"Conservative",0.0481721545242416,5,0.333333333333333,0.351101892662691,-0.150064817215452,0,0,0.224355107752764
"131","1912","134",134,"Socialist",0.00861727852275224,3,0,0.351329962629149,0.0749175642998461,0,0,0.0239331029618714
"132","1890","135",135,"Conservative",0.0812873258128732,3,0.333333333333333,0.372470139349701,0.284256801592568,0,0,0.00726330681065401
"133","1893","135",135,"Conservative",0.0912102016312674,3,0.5,0.440110959301122,0.141804330724962,0,0,0.054639306373692
"134","1898","135",135,"Conservative",0.16670936886156,3,0.5,0.447348193697156,0.0127252540780596,0,0,0.0235827647280801
"135","1903","135",135,"Conservative",0.0964553908408233,3,0.4,0.414264036418816,-0.0542391346640209,0,0,0.178849407642606
"136","1907","135",135,"Conservative",0.0958840703553372,3,0.5,0.399131239763583,-0.0087944171473332,0,0,0.232258595767606
"137","1912","135",135,"Socialist",0.0114803822445452,3,0,0.362936629594599,0.0692410554124132,0,0,0.0596957723361917
"138","1890","136",136,"Socialist",0.00401207172022011,3,0,0.375039943191905,NA,0,0,0.111649623145579
"139","1893","136",136,"Socialist",0.0602422038491887,4,0,0.401934886273972,0.270678239390717,0,0,0.0528311449218689
"140","1898","136",136,"Socialist",0.0681271064034665,3,0,0.468464130958113,-0.274606231515235,0,0,0.0322333075404925
"141","1890","137",137,"Conservative",0.023333612110061,3,0.5,0.365894455130886,0.148866772601823,0,0,0.0587048541757644
"142","1893","137",137,"Conservative",0.0645216352308612,3,0.666666666666667,0.390799692754118,0.0476231117180165,0,0,0.0367157433707624
"143","1898","137",137,"Conservative",0.0219627467333889,3,0.6,0.328421833008989,0.034473172087851,0,0,0.0868357367904605
"144","1903","137",137,"Socialist",0.0392524826022363,3,0,0.343576511064196,0.115177105324889,0,0,0.0546976343058673
"145","1907","137",137,"Socialist",0.0106680543810577,3,0,0.357640018213751,NA,0,0,0.00261217844598433
"146","1912","137",137,"Socialist",0.13619335347432,3,0,0.450876132930514,0.0844108761329305,0,0,0.0736848240559969
"147","1890","139",139,"Conservative",0.00256726227151366,4,0.25,0.416666666666667,0.262374204148696,0,0,0.00873348577235772
"148","1893","139",139,"Conservative",0.18874980522516,4,0.25,0.443099776658183,-0.0640939074429959,0,0,0.182723151832169
"149","1898","139",139,"Conservative",0.145847438501467,3,0.2,0.436865267433988,0.0234145791017829,0,0,0.0241740228068233
"150","1903","139",139,"Conservative",0.0864939234120615,3,0.285714285714286,0.394038064664068,0.01270350836964,0,0,0.0888793656663048
"151","1907","139",139,"Conservative",0.193890520226147,3,0.333333333333333,0.461980102555112,0.0044265240829206,0,0,-0.024125660211067
"152","1912","139",139,"Conservative",0.136837033467996,3,0.4,0.44394203328268,-0.0623401653015085,0,0,0.122874309909512
"153","1890","140",140,"Conservative",0.0544593841992203,5,0.166666666666667,0.401384358341952,-0.157968016548651,0,0,0.132664112059319
"154","1893","140",140,"Socialist",0.049177790675179,4,0,0.408434900367576,-0.152756819500871,0,0,0.158393096654018
"155","1898","140",140,"Socialist",0.0950783813343055,5,0,0.427743346700693,-0.308056872037915,0,0,0.0871850926610823
"156","1903","140",140,"Socialist",0.26027688384237,5,0,0.463294674843646,0.038344768959864,0,0,0.0292435002566632
"157","1907","140",140,"Socialist",0.083460623513209,3,0,0.428371103042444,0.129510454488544,0,0,0.00431005458998551
"158","1890","142",142,"Socialist",0.139627253284449,4,0,0.237702413687748,0.179285059578368,0,0,0.132607537372611
"159","1893","142",142,"Socialist",0.138671875,4,0,0.241062973484848,0.191524621212121,0,0,0.100240390521789
"160","1898","142",142,"Conservative",0.0225576380826008,5,0.285714285714286,0.244595565876044,-0.014872560402499,0,0,0.351409117279232
"161","1903","142",142,"Socialist",0.0177863654379707,5,0,0.312921125644075,-0.0584621482362267,0,0,0.208435788204307
"162","1907","142",142,"Socialist",0.0310662607897919,7,0,0.260164296734915,0.156290396563946,0,0,0.136895865274733
"163","1912","142",142,"Socialist",0.0536153846153846,5,0,0.306807692307692,0.112807692307692,0,0,0.119320926914975
"164","1893","143",143,"Socialist",0.173140060707427,3,0,0.295793842532367,0.236820913089265,0,0,-0.0233120392921697
"165","1898","143",143,"Conservative",0.0281535648994515,3,0.6,0.387385740402194,0.108409506398537,0,0,0.0154018806703317
"166","1903","143",143,"Socialist",0.0400671934299757,5,0,0.27872830212157,0.117775150874137,0,0,0.134103590738353
"167","1903","143",143,"Socialist",0.00946577530615866,4,0,0.340412944447731,0.328225758741052,0,0,0.109252626349231
"168","1907","143",143,"Catholic",0.183180370855966,4,NA,NA,NA,NA,NA,NA
"169","1912","143",143,"Catholic",0.00359012067996023,3,NA,NA,NA,NA,NA,NA
"170","1890","144",144,"Catholic",0.10186976144423,4,NA,NA,NA,NA,NA,NA
"171","1903","144",144,"Catholic",0.00878877400295419,6,NA,NA,NA,NA,NA,NA
"172","1907","144",144,"Catholic",0.0648840587507398,5,NA,NA,NA,NA,NA,NA
"173","1912","144",144,"Catholic",0.0751788822278089,5,NA,NA,NA,NA,NA,NA
"174","1890","145",145,"Catholic",0.111436527751104,3,NA,NA,NA,NA,NA,NA
"175","1898","145",145,"Socialist",0.113450659962288,4,0,0.362575199784502,NA,0,0,0.0892941962567769
"176","1903","145",145,"Socialist",0.189505604176263,4,0,0.418432366037156,0.00322432058959005,0,0,0.0283350142162981
"177","1907","145",145,"Socialist",0.0319973610423883,3,0,0.367408873494969,NA,0,0,0.0315733983369412
"178","1912","145",145,"Socialist",0.0338497915499969,4,0,0.378943438491693,0.332337751228922,0,0,-0.291171851951155
"179","1890","146",146,"Socialist",0.101424050632911,3,0,0.428006329113924,NA,0,0,0.0710142953819856
"180","1893","146",146,"Socialist",0.256108631515243,4,0,0.495385430062788,-0.00389590740600648,0,0,0.027137400596992
"181","1898","146",146,"Socialist",0.242987377279102,4,0,0.476507713884993,0.142823749415615,0,0,0.027321887107056
"182","1907","146",146,"Socialist",0.118920412675018,4,0,0.451754789977892,0.329310980103169,0,0,0.00193856676912574
"183","1912","146",146,"Socialist",0.186044563578489,4,0,0.474032501256492,0.232932652035517,0,0,0.00566896679894979
"184","1890","147",147,"Socialist",0.0791961061391113,3,0,0.453540587219344,0.204710315591145,0,0,0.0258133577834563
"185","1898","147",147,"Socialist",0.172218103734758,5,0,0.49640839489762,0.219969835629745,0,0,-0.0184783413878777
"186","1907","149",149,"Conservative",0.177656732834023,3,0.5,0.491070025663856,0.119258366940764,0,0,-0.000302835294543502
"187","1912","149",149,"Conservative",0.103148806500762,4,0.4,0.399035043169121,0.0768410360589131,0,0,0.0484790495635992
"188","1890","150",150,"Conservative",0.00827101744844777,3,0.333333333333333,0.374915023793338,0.147858599592114,0,0,0.0364269189354662
"189","1893","150",150,"Socialist",0.0477763359679131,3,0,0.385985608116079,-0.0681844992332193,0,0,0.166651852769035
"190","1898","150",150,"Conservative",0.0330519678633174,3,0.25,0.445540526797519,-0.275602562798739,0,0,0.085355053961183
"191","1903","150",150,"Socialist",0.0918004421801403,3,0,0.398731135249447,-0.0185523406709603,0,0,0.113840841717923
"192","1907","150",150,"Socialist",0.00309488018392434,3,0,0.342116898045804,0.0254664426562914,0,0,-0.00887200550136275
"193","1912","150",150,"Socialist",0.0400137978613315,5,0,0.328389099689548,0.118575370817523,0,0,0.0179437372426932
"194","1898","151",151,"Conservative",0.0359234160142115,3,0.25,0.436739259161787,0.385880650042766,0,0,0.0608313532574559
"195","1903","151",151,"Conservative",0.111776555779387,5,0.142857142857143,0.470136658136876,0.203136059236674,0,0,0.0428953606058027
"196","1907","151",151,"Conservative",0.142564102564103,3,0.333333333333333,0.490897435897436,0.18974358974359,0,0,0.0122410657737144
"197","1907","151",151,"Conservative",0.093035762301694,4,0.333333333333333,0.284395446804697,0.246750918705745,0,0,0.12938341214789
"198","1912","151",151,"Conservative",0.135945273631841,3,0.5,0.336359867330017,0.283996683250415,0,0,0.0401717683042223
"199","1898","152",152,"Catholic",0.288284256690235,5,NA,NA,NA,NA,NA,NA
"200","1890","154",154,"Minority",0.0421431680582486,5,0.166666666666667,0.420125835938427,0.219065331803253,1,1,0.10977243229175
"201","1893","154",154,"Minority",0.012853869752631,5,0.166666666666667,0.426119374004893,0.285270474933012,0,0,0.0691706977654419
"202","1893","154",154,"Minority",0.0791423147079626,5,0.142857142857143,0.439377582548487,0.240107210661505,1,0,0.0423070052651333
"203","1898","154",154,"Minority",0.0150523560209424,5,0.2,0.432482547993019,0.292757417102967,1,1,0.0728606497052956
"204","1903","154",154,"Minority",0.118074357789077,4,0.2,0.415142309978208,0.0867067291818002,0,0,0.0760909542739058
"205","1903","154",154,"Minority",0.0412099066179456,3,0.5,0.435884422790635,0.22787251319529,0,0,0.0477378662503735
"206","1907","154",154,"Catholic",0.0101267287772698,4,0,0.392309472831433,0.21520745327238,1,1,0.119161015443179
"207","1912","154",154,"Catholic",0.0429388565309374,6,0,0.376524668947685,0.124193590513751,1,0,0.0585556507690485
"208","1890","155",155,"Minority",0.00660370114412961,4,0.166666666666667,0.427628042693696,0.429010212700607,0,0,0.101713433673803
"209","1893","155",155,"Minority",0.0586071184120466,5,0.2,0.456108829568789,0.375427789185489,0,0,0.063462535217638
"210","1898","155",155,"Minority",0.155718838526912,5,0.166666666666667,0.43820821529745,0.0956975920679887,0,0,0.0662185554108329
"211","1898","155",155,"Minority",0.0426704455991183,3,0.2,0.42717682254763,0.371595024405605,0,0,0.036170620844159
"212","1903","155",155,"Minority",0.152938621887666,5,0.166666666666667,0.453242617255356,0.223798494499131,0,0,0.0543406133241754
"213","1907","155",155,"Minority",0.083207016024253,4,0.2,0.360708098744045,0.298830662624513,0,0,0.0800534264041167
"214","1912","155",155,"Minority",0.0105562742561449,4,0.166666666666667,0.363363518758085,0.220232858990944,1,0,0.142453600901304
"215","1890","156",156,"Minority",0.110626163873371,4,0.25,0.39804469273743,0.0818784916201117,0,0,0.414989409970021
"216","1893","156",156,"Minority",0.054217627033161,3,0.333333333333333,0.457571554658933,0.266612028747951,1,1,0.103672062431106
"217","1898","156",156,"Minority",0.0389770072543957,3,0.166666666666667,0.442456658059757,0.252858723718185,0,0,0.139601116137504
"218","1903","156",156,"Minority",0.236638368305836,4,0.25,0.246622884297079,0.291152757755353,0,0,0.140480917031752
"219","1907","156",156,"Minority",0.0190685413005273,5,0,0.277548330404218,0.0872144112478032,1,1,0.293249060717179
"220","1912","156",156,"Socialist",0.12699465491007,5,0,0.213257383637002,0.146463267137451,0,0,0.152231691306841
"221","1893","157",157,"Minority",0.0900200171575636,3,0,0.481727194738347,0.268458678867601,0,0,0.087420874979848
"222","1898","157",157,"Minority",0.0374322196956446,3,0.25,0.440674013177074,0.251297300448953,0,0,0.122865116336851
"223","1903","157",157,"Minority",0.206352534199906,4,0.25,0.434247077939095,0.0580219089050789,0,0,0.137079284196293
"224","1912","157",157,"Minority",0.013139371187236,4,0.2,0.316166119192867,0.096981073048647,0,0,0.22911349596047
"225","1890","158",158,"Socialist",0.177857062591302,5,0,0.443561074278009,0.0221373187998652,0,0,0.12066676175631
"226","1893","158",158,"Socialist",0.22337930387466,5,0,0.458251243080964,0.0192794821277793,0,0,0.111351323675401
"227","1890","159",159,"Socialist",0.0211642705632807,4,0,0.337261371670988,0.0873909969361301,0,0,0.0914694106171933
"228","1893","159",159,"Socialist",0.0696676879566345,5,0,0.327268442139995,0.165448974781994,0,0,0.104807120483493
"229","1898","159",159,"Socialist",0.0643328445747801,5,0,0.362674120234604,0.0882514662756598,0,0,0.114244716750376
"230","1903","159",159,"Socialist",0.097870582491456,4,0,0.382994704623127,0.11507116836294,0,0,0.0417817189080606
"231","1903","159",159,"Socialist",0.0200054383715962,4,0,0.338072485724275,0.123528726255681,0,0,0.0695948359262848
"232","1907","159",159,"Socialist",0.0532752319370256,4,0,0.389513635085746,0.178942929434917,0,0,0.0471882734684208
"233","1912","159",159,"Socialist",0.140981826311923,4,0,0.459516432974544,0.209173081222652,0,0,0.0500536086343324
"234","1890","160",160,"Minority",0.0600172124835802,4,0.25,0.308194048104362,0.121030937174435,1,1,0.235611299673129
"235","1890","160",160,"Minority",0.032910292911258,5,0.2,0.286831057279351,0.0978622786276118,0,0,0.135070814243157
"236","1893","160",160,"Minority",0.0791755632053684,5,0.142857142857143,0.30437056080875,0.142620593489912,1,1,0.239738200520555
